run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cjet,geko_cturb,geko_cmix
ffs_Reh3000_geko_default,baseline,0.7424952423,43.5993,true,1.75,0.5,1,2,0
ffs_Reh3000_Csep0.9684_Cnw0.6806_Cmix0.051_Cjet0.972_Cturb1.5047,optimizer,0.5904635794,43.9718,true,0.9683568279,0.6805647925,0.9720451835,1.504652259,0.05101413677
ffs_Reh3000_Csep1.8684_Cnw-1.3194_Cmix0.651_Cjet0.372_Cturb2.0047,optimizer,0.8870954611,43.2553,true,1.868356828,-1.319435207,0.3720451835,2.004652259,0.6510141368
ffs_Reh3000_Csep2.3184_Cnw1.6806_Cmix0.951_Cjet0.672_Cturb1.7547,optimizer,0.7302184653,42.9796,true,2.318356828,1.680564793,0.6720451835,1.754652259,0.9510141368
ffs_Reh3000_Csep1.4184_Cnw-0.3194_Cmix0.351_Cjet0.072_Cturb2.2547,optimizer,0.8063006891,46.0927,true,1.418356828,-0.3194352075,0.07204518355,2.254652259,0.3510141368
ffs_Reh3000_Csep1.6434_Cnw-1.8194_Cmix-0.099_Cjet0.522_Cturb1.6297,optimizer,1.215322848,74.9963,true,1.643356828,-1.819435207,0.5220451835,1.629652259,-0.09898586323
ffs_Reh3000_Csep0.7434_Cnw0.1806_Cmix0.501_Cjet1.122_Cturb2.1297,optimizer,0.6255357067,46.4830,true,0.7433568279,0.1805647925,1.122045184,2.129652259,0.5010141368
ffs_Reh3000_Csep2.0934_Cnw1.1806_Cmix0.201_Cjet0.222_Cturb1.8797,optimizer,0.8405275095,48.6542,true,2.093356828,1.180564793,0.2220451835,1.879652259,0.2010141368
ffs_Reh3000_Csep1.1934_Cnw-0.8194_Cmix0.801_Cjet0.822_Cturb2.3797,optimizer,0.7667509142,46.7974,true,1.193356828,-0.8194352075,0.8220451835,2.379652259,0.8010141368
ffs_Reh3000_Csep1.3059_Cnw1.9306_Cmix0.726_Cjet0.147_Cturb2.1922,optimizer,0.7642760639,46.5035,true,1.305856828,1.930564793,0.1470451835,2.192152259,0.7260141368
